# wl(nm) calibrationFactor
3.000000000000000000e+01 2.000000000000000000e+00
3.332444148049349764e+01 2.000000000000000000e+00
3.664888296098699527e+01 2.000000000000000000e+00
3.997332444148049291e+01 2.000000000000000000e+00
4.329776592197399054e+01 2.000000000000000000e+00
4.662220740246748818e+01 2.000000000000000000e+00
4.994664888296098582e+01 2.000000000000000000e+00
5.327109036345448345e+01 2.000000000000000000e+00
5.659553184394798109e+01 2.000000000000000000e+00
5.991997332444147872e+01 2.000000000000000000e+00
6.324441480493497636e+01 2.000000000000000000e+00
6.656885628542846689e+01 2.000000000000000000e+00
6.989329776592197163e+01 2.000000000000000000e+00
7.321773924641547637e+01 2.000000000000000000e+00
7.654218072690896690e+01 2.000000000000000000e+00
7.986662220740245743e+01 2.000000000000000000e+00
8.319106368789596218e+01 2.000000000000000000e+00
8.651550516838946692e+01 2.000000000000000000e+00
8.983994664888295745e+01 2.000000000000000000e+00
9.316438812937644798e+01 2.000000000000000000e+00
9.648882960986995272e+01 2.000000000000000000e+00
9.981327109036345746e+01 2.000000000000000000e+00
1.031377125708569480e+02 2.000000000000000000e+00
1.064621540513504385e+02 2.000000000000000000e+00
1.097865955318439433e+02 2.000000000000000000e+00
1.131110370123374480e+02 2.000000000000000000e+00
1.164354784928309385e+02 2.000000000000000000e+00
1.197599199733244291e+02 2.000000000000000000e+00
1.230843614538179338e+02 2.000000000000000000e+00
1.264088029343114385e+02 2.000000000000000000e+00
1.297332444148049149e+02 2.000000000000000000e+00
1.330576858952984196e+02 2.000000000000000000e+00
1.363821273757919244e+02 2.000000000000000000e+00
1.397065688562854291e+02 2.000000000000000000e+00
1.430310103367789338e+02 2.000000000000000000e+00
1.463554518172724102e+02 2.000000000000000000e+00
1.496798932977659149e+02 2.000000000000000000e+00
1.530043347782594196e+02 2.000000000000000000e+00
1.563287762587528960e+02 2.000000000000000000e+00
1.596532177392464007e+02 2.000000000000000000e+00
1.629776592197399054e+02 2.000000000000000000e+00
1.663021007002334102e+02 2.000000000000000000e+00
1.696265421807269149e+02 2.000000000000000000e+00
1.729509836612203912e+02 2.000000000000000000e+00
